date,customer_name,customer_email_id,customer_ph_no,sku,territory,salesperson,quantity
2016-01-03,customer_10,customer_10@xyz.com,9485471889,sku_02,territory_03,salesperson_03,289
2016-01-04,customer_06,customer_06@xyz.com,9669437804,sku_10,territory_04,salesperson_04,83
2016-01-05,customer_04,customer_04@xyz.com,9093384374,sku_07,territory_05,salesperson_05,153
2016-01-05,customer_03,customer_03@xyz.com,9928503373,sku_05,territory_01,salesperson_01,199
2016-01-06,customer_08,customer_08@xyz.com,9166819633,sku_13,territory_03,salesperson_03,95
2016-01-08,customer_07,customer_07@xyz.com,9139114520,sku_15,territory_04,salesperson_04,271
2016-01-09,customer_03,customer_03@xyz.com,9928503373,sku_10,territory_01,salesperson_01,95
2016-01-12,customer_09,customer_09@xyz.com,9996658526,sku_13,territory_01,salesperson_01,187
2016-01-15,customer_04,customer_04@xyz.com,9093384374,sku_08,territory_05,salesperson_05,130
2016-01-15,customer_10,customer_10@xyz.com,9485471889,sku_07,territory_03,salesperson_03,203
2016-01-15,customer_04,customer_04@xyz.com,9093384374,sku_14,territory_05,salesperson_05,176
2016-01-17,customer_09,customer_09@xyz.com,9996658526,sku_15,territory_01,salesperson_01,257
2016-01-17,customer_05,customer_05@xyz.com,9394730665,sku_14,territory_05,salesperson_05,357
2016-01-18,customer_07,customer_07@xyz.com,9139114520,sku_04,territory_04,salesperson_04,236
2016-01-18,customer_08,customer_08@xyz.com,9166819633,sku_06,territory_03,salesperson_03,259
2016-01-18,customer_10,customer_10@xyz.com,9485471889,sku_04,territory_03,salesperson_03,394
2016-01-20,customer_05,customer_05@xyz.com,9394730665,sku_01,territory_05,salesperson_05,311
2016-01-21,customer_02,customer_02@xyz.com,9811870717,sku_07,territory_01,salesperson_01,223
2016-01-22,customer_01,customer_01@xyz.com,9200626635,sku_15,territory_02,salesperson_02,259
2016-01-23,customer_05,customer_05@xyz.com,9394730665,sku_09,territory_05,salesperson_05,247
2016-01-24,customer_08,customer_08@xyz.com,9166819633,sku_05,territory_03,salesperson_03,367
2016-01-24,customer_07,customer_07@xyz.com,9139114520,sku_12,territory_04,salesperson_04,205
2016-01-25,customer_10,customer_10@xyz.com,9485471889,sku_07,territory_03,salesperson_03,269
2016-01-25,customer_02,customer_02@xyz.com,9811870717,sku_12,territory_01,salesperson_01,260
2016-01-26,customer_07,customer_07@xyz.com,9139114520,sku_07,territory_04,salesperson_04,282
2016-01-27,customer_02,customer_02@xyz.com,9811870717,sku_02,territory_01,salesperson_01,234
2016-01-29,customer_07,customer_07@xyz.com,9139114520,sku_09,territory_04,salesperson_04,404
2016-01-30,customer_06,customer_06@xyz.com,9669437804,sku_10,territory_04,salesperson_04,387
2016-01-30,customer_06,customer_06@xyz.com,9669437804,sku_06,territory_04,salesperson_04,307
2016-01-30,customer_10,customer_10@xyz.com,9485471889,sku_05,territory_03,salesperson_03,318
2016-01-31,customer_08,customer_08@xyz.com,9166819633,sku_08,territory_03,salesperson_03,376
2016-02-01,customer_07,customer_07@xyz.com,9139114520,sku_08,territory_04,salesperson_04,148
2016-02-01,customer_04,customer_04@xyz.com,9093384374,sku_10,territory_05,salesperson_05,150
2016-02-02,customer_10,customer_10@xyz.com,9485471889,sku_14,territory_03,salesperson_03,280
2016-02-02,customer_07,customer_07@xyz.com,9139114520,sku_12,territory_04,salesperson_04,197
2016-02-03,customer_02,customer_02@xyz.com,9811870717,sku_09,territory_01,salesperson_01,160
2016-02-04,customer_05,customer_05@xyz.com,9394730665,sku_13,territory_05,salesperson_05,278
2016-02-05,customer_04,customer_04@xyz.com,9093384374,sku_01,territory_05,salesperson_05,275
2016-02-05,customer_01,customer_01@xyz.com,9200626635,sku_15,territory_02,salesperson_02,261
2016-02-07,customer_10,customer_10@xyz.com,9485471889,sku_04,territory_03,salesperson_03,197
2016-02-08,customer_04,customer_04@xyz.com,9093384374,sku_12,territory_05,salesperson_05,140
2016-02-09,customer_04,customer_04@xyz.com,9093384374,sku_03,territory_05,salesperson_05,114
2016-02-09,customer_08,customer_08@xyz.com,9166819633,sku_05,territory_03,salesperson_03,271
2016-02-09,customer_04,customer_04@xyz.com,9093384374,sku_05,territory_05,salesperson_05,269
2016-02-10,customer_05,customer_05@xyz.com,9394730665,sku_04,territory_05,salesperson_05,107
2016-02-10,customer_03,customer_03@xyz.com,9928503373,sku_15,territory_01,salesperson_01,243
2016-02-13,customer_02,customer_02@xyz.com,9811870717,sku_13,territory_01,salesperson_01,235
2016-02-13,customer_02,customer_02@xyz.com,9811870717,sku_15,territory_01,salesperson_01,116
2016-02-13,customer_07,customer_07@xyz.com,9139114520,sku_01,territory_04,salesperson_04,171
2016-02-13,customer_03,customer_03@xyz.com,9928503373,sku_11,territory_01,salesperson_01,155
2016-02-14,customer_03,customer_03@xyz.com,9928503373,sku_02,territory_01,salesperson_01,190
2016-02-17,customer_04,customer_04@xyz.com,9093384374,sku_05,territory_05,salesperson_05,380
2016-02-17,customer_07,customer_07@xyz.com,9139114520,sku_01,territory_04,salesperson_04,313
2016-02-20,customer_10,customer_10@xyz.com,9485471889,sku_07,territory_03,salesperson_03,212
2016-02-24,customer_05,customer_05@xyz.com,9394730665,sku_08,territory_05,salesperson_05,209
2016-02-24,customer_05,customer_05@xyz.com,9394730665,sku_02,territory_05,salesperson_05,318
