date,customer_name,customer_email_id,customer_ph_no,sku,territory,salesperson,quantity
2018-01-01,customer_05,customer_05@xyz.com,9093722256,sku_19,territory_01,salesperson_01,100
2018-01-01,customer_15,customer_15@xyz.com,9810729472,sku_06,territory_05,salesperson_05,85
2018-01-02,customer_03,customer_03@xyz.com,9974038784,sku_01,territory_05,salesperson_05,51
2018-01-07,customer_15,customer_15@xyz.com,9810729472,sku_15,territory_05,salesperson_05,98
2018-01-07,customer_08,customer_08@xyz.com,9006036925,sku_03,territory_02,salesperson_02,52
2018-01-10,customer_10,customer_10@xyz.com,9690661686,sku_21,territory_01,salesperson_01,155
2018-01-15,customer_15,customer_15@xyz.com,9810729472,sku_22,territory_05,salesperson_05,168
2018-01-21,customer_02,customer_02@xyz.com,9312535103,sku_19,territory_03,salesperson_03,228
2018-01-21,customer_03,customer_03@xyz.com,9974038784,sku_12,territory_05,salesperson_05,248
2018-01-25,customer_06,customer_06@xyz.com,9328945644,sku_04,territory_05,salesperson_05,552
2018-01-26,customer_14,customer_14@xyz.com,9205835265,sku_08,territory_04,salesperson_04,471
2018-01-27,customer_01,customer_01@xyz.com,9647381068,sku_13,territory_05,salesperson_05,476
2018-01-27,customer_05,customer_05@xyz.com,9093722256,sku_15,territory_01,salesperson_01,388
2018-01-30,customer_10,customer_10@xyz.com,9690661686,sku_24,territory_01,salesperson_01,552
2018-02-03,customer_09,customer_09@xyz.com,9030532391,sku_14,territory_01,salesperson_01,65
2018-02-04,customer_08,customer_08@xyz.com,9006036925,sku_05,territory_02,salesperson_02,49
2018-02-04,customer_02,customer_02@xyz.com,9312535103,sku_08,territory_03,salesperson_03,95
2018-02-05,customer_07,customer_07@xyz.com,9752142366,sku_08,territory_01,salesperson_01,62
2018-02-05,customer_09,customer_09@xyz.com,9030532391,sku_11,territory_01,salesperson_01,63
2018-02-06,customer_12,customer_12@xyz.com,9728085214,sku_20,territory_03,salesperson_03,52
2018-02-06,customer_07,customer_07@xyz.com,9752142366,sku_01,territory_01,salesperson_01,99
2018-02-08,customer_06,customer_06@xyz.com,9328945644,sku_15,territory_05,salesperson_05,119
2018-02-08,customer_13,customer_13@xyz.com,9752999558,sku_13,territory_05,salesperson_05,178
2018-02-09,customer_11,customer_11@xyz.com,9710466994,sku_02,territory_03,salesperson_03,214
2018-02-09,customer_03,customer_03@xyz.com,9974038784,sku_16,territory_05,salesperson_05,111
2018-02-10,customer_06,customer_06@xyz.com,9328945644,sku_24,territory_05,salesperson_05,170
2018-02-10,customer_06,customer_06@xyz.com,9328945644,sku_02,territory_05,salesperson_05,156
2018-02-12,customer_02,customer_02@xyz.com,9312535103,sku_04,territory_03,salesperson_03,112
2018-02-16,customer_10,customer_10@xyz.com,9690661686,sku_08,territory_01,salesperson_01,383
2018-02-20,customer_15,customer_15@xyz.com,9810729472,sku_07,territory_05,salesperson_05,313
2018-02-21,customer_06,customer_06@xyz.com,9328945644,sku_24,territory_05,salesperson_05,270
2018-02-21,customer_03,customer_03@xyz.com,9974038784,sku_24,territory_05,salesperson_05,372
2018-02-22,customer_01,customer_01@xyz.com,9647381068,sku_05,territory_05,salesperson_05,501
2018-02-23,customer_14,customer_14@xyz.com,9205835265,sku_12,territory_04,salesperson_04,597
2018-02-26,customer_11,customer_11@xyz.com,9710466994,sku_05,territory_03,salesperson_03,436
2018-02-26,customer_15,customer_15@xyz.com,9810729472,sku_17,territory_05,salesperson_05,576
2018-02-26,customer_07,customer_07@xyz.com,9752142366,sku_05,territory_01,salesperson_01,407
2018-02-27,customer_13,customer_13@xyz.com,9752999558,sku_05,territory_05,salesperson_05,514
2018-02-28,customer_08,customer_08@xyz.com,9006036925,sku_22,territory_02,salesperson_02,602
2018-02-28,customer_08,customer_08@xyz.com,9006036925,sku_22,territory_02,salesperson_02,611
2018-03-01,customer_01,customer_01@xyz.com,9647381068,sku_20,territory_05,salesperson_05,81
2018-03-03,customer_02,customer_02@xyz.com,9312535103,sku_23,territory_03,salesperson_03,99
2018-03-04,customer_14,customer_14@xyz.com,9205835265,sku_06,territory_04,salesperson_04,78
2018-03-04,customer_12,customer_12@xyz.com,9728085214,sku_04,territory_03,salesperson_03,46
2018-03-05,customer_14,customer_14@xyz.com,9205835265,sku_07,territory_04,salesperson_04,61
2018-03-05,customer_05,customer_05@xyz.com,9093722256,sku_17,territory_01,salesperson_01,42
2018-03-07,customer_15,customer_15@xyz.com,9810729472,sku_07,territory_05,salesperson_05,95
2018-03-08,customer_15,customer_15@xyz.com,9810729472,sku_22,territory_05,salesperson_05,151
2018-03-10,customer_09,customer_09@xyz.com,9030532391,sku_15,territory_01,salesperson_01,140
2018-03-14,customer_04,customer_04@xyz.com,9672128664,sku_25,territory_02,salesperson_02,119
2018-03-14,customer_05,customer_05@xyz.com,9093722256,sku_08,territory_01,salesperson_01,114
2018-03-17,customer_04,customer_04@xyz.com,9672128664,sku_04,territory_02,salesperson_02,383
